2020-12-07T22:30:45.873Z /time - GET RESPONSE - 200
2020-12-07T22:30:45.875Z /users - GET RESPONSE - 200
2020-12-07T22:30:46.728Z /time - GET RESPONSE - 200
2020-12-07T22:30:46.728Z /users - GET RESPONSE - 200
2020-12-07T22:30:46.871Z /time - GET RESPONSE - 200
2020-12-07T22:30:46.871Z /users - GET RESPONSE - 200
2020-12-07T22:30:47.925Z /time - GET RESPONSE - 200
2020-12-07T22:30:47.926Z - POST RESPONSE - 200
2020-12-07T22:30:48.875Z /time - GET RESPONSE - 200
2020-12-07T22:30:48.879Z /users - GET RESPONSE - 200
2020-12-07T22:30:49.023Z /time - GET RESPONSE - 200
2020-12-07T22:30:49.024Z /users - GET RESPONSE - 200
2020-12-07T22:30:49.036Z /users - GET RESPONSE - 200
2020-12-07T22:30:49.867Z /time - GET RESPONSE - 200
2020-12-07T22:30:49.870Z /users - GET RESPONSE - 200
2020-12-07T22:30:49.877Z /users - GET RESPONSE - 200
2020-12-07T22:30:50.023Z /time - GET RESPONSE - 200
2020-12-07T22:30:50.024Z /users - GET RESPONSE - 200
2020-12-07T22:30:50.880Z /time - GET RESPONSE - 200
2020-12-07T22:30:50.884Z /users - GET RESPONSE - 200
2020-12-07T22:30:51.026Z /time - GET RESPONSE - 200
2020-12-07T22:30:51.031Z /users - GET RESPONSE - 200
2020-12-07T22:30:51.872Z /time - GET RESPONSE - 200
2020-12-07T22:30:51.879Z /users - GET RESPONSE - 200
2020-12-07T22:30:52.020Z /time - GET RESPONSE - 200
2020-12-07T22:30:52.021Z /users - GET RESPONSE - 200
2020-12-07T22:30:52.869Z /time - GET RESPONSE - 200
2020-12-07T22:30:52.875Z /users - GET RESPONSE - 200
2020-12-07T22:30:53.027Z /time - GET RESPONSE - 200
2020-12-07T22:30:53.028Z /users - GET RESPONSE - 200
2020-12-07T22:30:53.872Z /time - GET RESPONSE - 200
2020-12-07T22:30:53.873Z /users - GET RESPONSE - 200
2020-12-07T22:30:54.022Z /time - GET RESPONSE - 200
2020-12-07T22:30:54.023Z /users - GET RESPONSE - 200
2020-12-07T22:30:54.868Z /time - GET RESPONSE - 200
2020-12-07T22:30:54.872Z /users - GET RESPONSE - 200
2020-12-07T22:30:55.028Z /time - GET RESPONSE - 200
2020-12-07T22:30:55.029Z /users - GET RESPONSE - 200
2020-12-07T22:30:55.845Z HTTP POST http://localhost:3003/service
2020-12-07T22:30:55.847Z - POST RESPONSE - 200
2020-12-07T22:30:55.871Z /time - GET RESPONSE - 200
2020-12-07T22:30:55.874Z /users - GET RESPONSE - 200
2020-12-07T22:30:56.021Z /time - GET RESPONSE - 200
2020-12-07T22:30:56.021Z /users - GET RESPONSE - 200
2020-12-07T22:30:56.870Z /time - GET RESPONSE - 200
2020-12-07T22:30:56.875Z /users - GET RESPONSE - 200
2020-12-07T22:30:57.029Z /time - GET RESPONSE - 200
2020-12-07T22:30:57.029Z /users - GET RESPONSE - 200
2020-12-07T22:30:57.876Z /time - GET RESPONSE - 200
2020-12-07T22:30:57.879Z /users - GET RESPONSE - 200
2020-12-07T22:30:58.022Z /time - GET RESPONSE - 200
2020-12-07T22:30:58.022Z /users - GET RESPONSE - 200
2020-12-07T22:30:58.873Z /time - GET RESPONSE - 200
2020-12-07T22:30:58.878Z /users - GET RESPONSE - 200
2020-12-07T22:30:59.027Z /time - GET RESPONSE - 200
2020-12-07T22:30:59.028Z /users - GET RESPONSE - 200
2020-12-07T22:30:59.869Z /time - GET RESPONSE - 200
2020-12-07T22:30:59.874Z /users - GET RESPONSE - 200
2020-12-07T22:31:00.875Z /time - GET RESPONSE - 200
2020-12-07T22:31:00.876Z /users - GET RESPONSE - 200
2020-12-07T22:31:00.878Z /time - GET RESPONSE - 200
2020-12-07T22:31:00.879Z /users - GET RESPONSE - 200
2020-12-07T22:31:01.879Z /time - GET RESPONSE - 200
2020-12-07T22:31:01.889Z /users - GET RESPONSE - 200
2020-12-07T22:31:01.890Z /time - GET RESPONSE - 200
2020-12-07T22:31:01.890Z /users - GET RESPONSE - 200
2020-12-07T22:31:02.882Z /time - GET RESPONSE - 200
2020-12-07T22:31:02.882Z /users - GET RESPONSE - 200
2020-12-07T22:31:02.884Z /time - GET RESPONSE - 200
2020-12-07T22:31:02.885Z /users - GET RESPONSE - 200
2020-12-07T22:31:03.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:03.871Z /users - GET RESPONSE - 200
2020-12-07T22:31:03.876Z /time - GET RESPONSE - 200
2020-12-07T22:31:03.878Z /users - GET RESPONSE - 200
2020-12-07T22:31:04.878Z /time - GET RESPONSE - 200
2020-12-07T22:31:04.880Z /users - GET RESPONSE - 200
2020-12-07T22:31:04.885Z /time - GET RESPONSE - 200
2020-12-07T22:31:04.889Z /users - GET RESPONSE - 200
2020-12-07T22:31:05.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:05.877Z /users - GET RESPONSE - 200
2020-12-07T22:31:05.878Z /time - GET RESPONSE - 200
